,trial_id,supposed_answer_transcript,answer_files,answer_textgrid,answer_downsampled
305,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_03.wav
650,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A2ETY1O927Z1IF_prosody_study_exp11_03_18_2020_trial_03.wav
362,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A7FDA428ADXXP_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A7FDA428ADXXP_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A7FDA428ADXXP_prosody_study_exp11_03_19_2020_trial_03.wav
559,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1GXUCBX3YNEG1_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1GXUCBX3YNEG1_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1GXUCBX3YNEG1_prosody_study_exp11_03_19_2020_trial_03.wav
564,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_03.wav
822,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A36ZRUGMKQA5KO_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A36ZRUGMKQA5KO_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A36ZRUGMKQA5KO_prosody_study_exp11_03_19_2020_trial_03.wav
149,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/AWY6W20U8H3JA_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/AWY6W20U8H3JA_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/AWY6W20U8H3JA_prosody_study_exp11_03_19_2020_trial_03.wav
19,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A3DAJROQC1BLNI_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A3DAJROQC1BLNI_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A3DAJROQC1BLNI_prosody_study_exp11_03_19_2020_trial_03.wav
110,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_03.wav
722,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1JJYY622DGE5L_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1JJYY622DGE5L_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1JJYY622DGE5L_prosody_study_exp11_03_19_2020_trial_03.wav
