participant,presentationnum,verb,condition,item,targword,question,yesno,list,version,index,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A1299WL9DI3TEF,20,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListB,VersionC,nonrhyming,1,sp,sp,0,0.249,0,0.249,1.78843537415,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,31.313,51.665
A1299WL9DI3TEF,24,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,1,sp,sp,1,0.279,0,0.279,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,22.075,39.647
A1299WL9DI3TEF,24,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,1,NO,NO,2,0.239,0,0.239,0.291836734694,120.894,153.08,0.020,106.53,0.239,137.959,123.414,116.075,110.357,73.402,78.930
A1299WL9DI3TEF,24,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,1,SANDY,SANDY,5,0.419,0,0.419,0.531292517007,119.651,151.02,0.160,95.80,0.040,103.324,135.645,122.036,116.074,73.254,81.101
A1299WL9DI3TEF,24,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,1,IS,IS,2,0.150,0,0.150,0.950340136054,108.033,112.55,0.013,101.32,0.091,111.829,107.742,101.936,--undefined--,69.731,80.196
A1299WL9DI3TEF,24,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,1,PULLING,PULLING,5,0.319,0,0.319,1.1,118.886,142.68,0.097,109.80,0.294,--undefined--,128.529,115.882,113.076,68.891,77.690
A1299WL9DI3TEF,24,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,1,TORI,TORI,4,0.399,0,0.399,1.41927437642,113.208,138.02,0.102,89.45,0.377,113.101,120.974,111.541,106.336,70.147,77.239
A1299WL9DI3TEF,24,ItemSandy,Agent,Pull,ISMANDYPULLINGTORI,no,ListB,VersionC,nonrhyming,1,sp,sp,0,0.220,0,0.220,1.81836734694,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,30.241,50.039
A1299WL9DI3TEF,25,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,3,sp,sp,1,0.309,0,0.309,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,21.545,37.167
A1299WL9DI3TEF,25,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,3,YES,YES,3,0.309,0,0.309,0.321768707483,117.467,146.12,0.022,107.82,0.192,128.667,113.539,108.699,--undefined--,72.597,80.897
A1299WL9DI3TEF,25,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,3,BILLY,BILLY,4,0.269,0,0.269,0.631065759637,122.087,159.22,0.083,114.39,0.269,--undefined--,134.183,117.051,116.892,68.487,82.302
A1299WL9DI3TEF,25,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,3,IS,IS,2,0.100,0,0.100,0.900453514739,108.211,114.39,0,103.25,0.057,112.732,107.109,103.591,--undefined--,75.464,81.184
A1299WL9DI3TEF,25,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,3,KISSING,KISSING,5,0.349,0,0.349,1.00022675737,122.744,150.80,0.092,110.29,0.349,143.235,124.726,127.522,115.226,71.851,82.475
A1299WL9DI3TEF,25,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,3,ANDY,ANDY,4,0.309,0,0.309,1.34943310658,106.114,110.29,0,99.43,0.304,109.497,107.509,104.465,102.984,72.701,76.287
A1299WL9DI3TEF,25,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,3,sp,sp,0,0.190,0,0.190,1.65873015873,99.427,99.43,0,99.43,0,99.427,--undefined--,--undefined--,--undefined--,32.565,55.540
A1299WL9DI3TEF,29,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListB,VersionC,nonrhyming,1,sp,sp,1,0.309,0,0.309,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,23.273,36.715
A1299WL9DI3TEF,29,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListB,VersionC,nonrhyming,1,NO,NO,2,0.279,0,0.279,0.321768707483,117.208,148.87,0.031,104.25,0.269,135.946,119.727,112.973,107.257,70.054,77.064
A1299WL9DI3TEF,29,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListB,VersionC,nonrhyming,1,DORY,DORY,4,0.359,0,0.359,0.601133786848,117.067,137.97,0.112,103.43,0.062,108.301,124.169,118.673,116.259,74.564,81.546
A1299WL9DI3TEF,29,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListB,VersionC,nonrhyming,1,IS,IS,2,0.140,0,0.140,0.960317460317,111.281,113.81,0.010,108.55,0.059,113.199,109.669,109.937,--undefined--,74.020,81.815
