"","presentationnum","participant","verb","condition","word","word_num","duration","meanIntensity","meanpit"
"174",66,"A1299WL9DI3TEF","ItemSandy","YesControl","SANDY",3,0.299,"70.421","127.185"
"175",66,"A1299WL9DI3TEF","ItemSandy","YesControl","IS",4,0.1,"74.761","120.569"
"176",66,"A1299WL9DI3TEF","ItemSandy","YesControl","sp",5,0.03,"53.471","--undefined--"
"177",66,"A1299WL9DI3TEF","ItemSandy","YesControl","PULLING",6,0.329,"66.178","126.396"
"178",66,"A1299WL9DI3TEF","ItemSandy","YesControl","TORI",7,0.419,"68.794","118.419"
"179",66,"A1299WL9DI3TEF","ItemSandy","YesControl","sp",8,0.2,"29.589","110.413"
"180",68,"A1299WL9DI3TEF","ItemBonnie","Patient","sp",1,0.429,"14.129","--undefined--"
"181",68,"A1299WL9DI3TEF","ItemBonnie","Patient","NO",2,0.229,"70.748","122.035"
"182",68,"A1299WL9DI3TEF","ItemBonnie","Patient","BONNIE",3,0.339,"69.439","117.978"
"183",68,"A1299WL9DI3TEF","ItemBonnie","Patient","IS",4,0.1,"69.247","116.418"
"184",68,"A1299WL9DI3TEF","ItemBonnie","Patient","KICKING",5,0.349,"61.534","131.632"
"185",68,"A1299WL9DI3TEF","ItemBonnie","Patient","LAURIE",6,0.479,"69.755","113.921"
"186",68,"A1299WL9DI3TEF","ItemBonnie","Patient","sp",7,0.05,"36.710","--undefined--"
"187",6,"A1299WL9DI3TEF","ItemBilly","Agent","sp",1,0.619,"16.498","--undefined--"
"188",6,"A1299WL9DI3TEF","ItemBilly","Agent","NO",2,0.259,"74.409","120.357"
"189",6,"A1299WL9DI3TEF","ItemBilly","Agent","BILLY",3,0.359,"76.839","117.704"
"190",6,"A1299WL9DI3TEF","ItemBilly","Agent","IS",4,0.11,"69.849","107.266"
"191",6,"A1299WL9DI3TEF","ItemBilly","Agent","KISSING",5,0.349,"67.904","125.927"
"192",6,"A1299WL9DI3TEF","ItemBilly","Agent","ANDY",6,0.409,"71.740","108.489"
"193",6,"A1299WL9DI3TEF","ItemBilly","Agent","sp",7,0.519,"24.598","--undefined--"
"194",71,"A1299WL9DI3TEF","ItemBilly","Patient","sp",1,0.519,"15.533","--undefined--"
"195",71,"A1299WL9DI3TEF","ItemBilly","Patient","NO",2,0.239,"72.315","123.059"
"196",71,"A1299WL9DI3TEF","ItemBilly","Patient","BILLY",3,0.329,"73.928","122.466"
"197",71,"A1299WL9DI3TEF","ItemBilly","Patient","IS",4,0.14,"71.465","114.273"
"198",71,"A1299WL9DI3TEF","ItemBilly","Patient","KISSING",5,0.369,"69.474","122.061"
"199",71,"A1299WL9DI3TEF","ItemBilly","Patient","ANDY",6,0.419,"69.746","112.000"
"200",71,"A1299WL9DI3TEF","ItemBilly","Patient","sp",7,0.05,"45.374","--undefined--"
"201",72,"A1299WL9DI3TEF","ItemSandy","YesControl","sp",1,0.439,"16.326","--undefined--"
"202",72,"A1299WL9DI3TEF","ItemSandy","YesControl","YES",2,0.249,"64.840","121.273"
"203",72,"A1299WL9DI3TEF","ItemSandy","YesControl","SANDY",3,0.399,"70.868","123.992"
"204",72,"A1299WL9DI3TEF","ItemSandy","YesControl","IS",4,0.12,"76.524","112.763"
"205",72,"A1299WL9DI3TEF","ItemSandy","YesControl","sp",5,0.02,"58.663","--undefined--"
"206",72,"A1299WL9DI3TEF","ItemSandy","YesControl","PULLING",6,0.339,"66.425","121.945"
"207",72,"A1299WL9DI3TEF","ItemSandy","YesControl","TORI",7,0.449,"65.279","113.325"
"208",72,"A1299WL9DI3TEF","ItemSandy","YesControl","sp",8,0.1,"27.182","--undefined--"
"209",74,"A1299WL9DI3TEF","ItemDory","Agent","sp",1,0.579,"21.228","155.569"
"210",74,"A1299WL9DI3TEF","ItemDory","Agent","NO",2,0.269,"73.497","121.079"
"211",74,"A1299WL9DI3TEF","ItemDory","Agent","DORY",3,0.389,"72.605","120.143"
"212",74,"A1299WL9DI3TEF","ItemDory","Agent","IS",4,0.07,"72.018","112.713"
"213",74,"A1299WL9DI3TEF","ItemDory","Agent","sp",5,0.03,"54.732","--undefined--"
"214",74,"A1299WL9DI3TEF","ItemDory","Agent","POKING",6,0.379,"64.299","122.710"
"215",74,"A1299WL9DI3TEF","ItemDory","Agent","DONNY",7,0.369,"73.298","112.773"
"216",74,"A1299WL9DI3TEF","ItemDory","Agent","sp",8,0.12,"44.768","129.482"
"217",76,"A1299WL9DI3TEF","ItemBonnie","Agent","sp",1,0.688,"14.335","--undefined--"
"218",76,"A1299WL9DI3TEF","ItemBonnie","Agent","NO",2,0.22,"74.204","120.940"
"219",76,"A1299WL9DI3TEF","ItemBonnie","Agent","BONNIE",3,0.369,"72.964","114.880"
"220",76,"A1299WL9DI3TEF","ItemBonnie","Agent","IS",4,0.15,"73.842","110.584"
"221",76,"A1299WL9DI3TEF","ItemBonnie","Agent","KICKING",5,0.369,"62.640","122.890"
"222",76,"A1299WL9DI3TEF","ItemBonnie","Agent","LAURIE",6,0.319,"70.253","110.435"
"223",76,"A1299WL9DI3TEF","ItemBonnie","Agent","sp",7,0.229,"29.785","--undefined--"
"224",80,"A1299WL9DI3TEF","ItemSandy","Verb","sp",1,0.489,"16.219","--undefined--"
"225",80,"A1299WL9DI3TEF","ItemSandy","Verb","NO",2,0.289,"72.437","126.325"
"226",80,"A1299WL9DI3TEF","ItemSandy","Verb","SANDY",3,0.369,"71.045","123.934"
"227",80,"A1299WL9DI3TEF","ItemSandy","Verb","IS",4,0.09,"73.920","114.349"
"228",80,"A1299WL9DI3TEF","ItemSandy","Verb","sp",5,0.02,"59.292","118.522"
"229",80,"A1299WL9DI3TEF","ItemSandy","Verb","PULLING",6,0.399,"65.923","123.608"
"230",80,"A1299WL9DI3TEF","ItemSandy","Verb","TORI",7,0.469,"65.339","116.079"
"231",80,"A1299WL9DI3TEF","ItemSandy","Verb","sp",8,0.459,"12.142","--undefined--"
"232",81,"A1299WL9DI3TEF","ItemBonnie","YesControl","sp",1,0.459,"16.178","--undefined--"
"233",81,"A1299WL9DI3TEF","ItemBonnie","YesControl","YES",2,0.329,"69.681","122.905"
"234",81,"A1299WL9DI3TEF","ItemBonnie","YesControl","BONNIE",3,0.269,"65.372","124.429"
"235",81,"A1299WL9DI3TEF","ItemBonnie","YesControl","IS",4,0.15,"73.603","120.655"
"236",81,"A1299WL9DI3TEF","ItemBonnie","YesControl","KICKING",5,0.339,"65.180","132.328"
"237",81,"A1299WL9DI3TEF","ItemBonnie","YesControl","LAURIE",6,0.349,"71.267","115.205"
"238",81,"A1299WL9DI3TEF","ItemBonnie","YesControl","sp",7,0.13,"34.625","--undefined--"
